ligand,pocket,best_score_kcal_mol,log_file
fda_1000,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1000__Human_pocket12_log.txt
fda_1000,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1000__Human_pocket5_log.txt
fda_1000,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1000__Human_pocket9_log.txt
fda_1000,TcS6_pocket11,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1000__TcS6_pocket11_log.txt
fda_1000,TcS6_pocket2,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1000__TcS6_pocket2_log.txt
fda_1001,Human_pocket12,-4.915,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1001__Human_pocket12_log.txt
fda_1001,Human_pocket5,-5.366,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1001__Human_pocket5_log.txt
fda_1001,Human_pocket9,-4.698,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1001__Human_pocket9_log.txt
fda_1001,TcS6_pocket11,-4.977,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1001__TcS6_pocket11_log.txt
fda_1001,TcS6_pocket2,-4.881,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1001__TcS6_pocket2_log.txt
fda_1002,Human_pocket12,-4.362,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1002__Human_pocket12_log.txt
fda_1002,Human_pocket5,-5.928,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1002__Human_pocket5_log.txt
fda_1002,Human_pocket9,-5.401,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1002__Human_pocket9_log.txt
fda_1002,TcS6_pocket11,-4.79,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1002__TcS6_pocket11_log.txt
fda_1002,TcS6_pocket2,-4.957,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1002__TcS6_pocket2_log.txt
fda_1003,Human_pocket12,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1003__Human_pocket12_log.txt
fda_1003,Human_pocket5,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1003__Human_pocket5_log.txt
fda_1003,Human_pocket9,,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/FDA_ALL_TcPocket2_11_vs_Human/fda_1003__Human_pocket9_log.txt
