ligand,Human_pocket12,Human_pocket5,Human_pocket9,TcS6_pocket11,TcS6_pocket2,best_Tc_score,best_Tc_pocket,best_human_score,best_human_pocket,delta_best_human_minus_best_Tc,Tc_selective_candidate
fda_1021,-4.702,-4.951,-4.682,-5.305,-4.551,-5.305,TcS6_pocket11,-4.951,Human_pocket5,0.3540000000000001,True
fda_1006,-3.427,-4.568,-4.123,-4.685,-3.748,-4.685,TcS6_pocket11,-4.568,Human_pocket5,0.11699999999999999,True
fda_1015,-4.856,-5.083,-4.824,-5.121,-4.095,-5.121,TcS6_pocket11,-5.083,Human_pocket5,0.038000000000000256,True
fda_1029,-4.631,-5.291,-4.956,-4.983,-4.787,-4.983,TcS6_pocket11,-5.291,Human_pocket5,-0.3080000000000007,False
fda_1001,-4.915,-5.366,-4.698,-4.977,-4.881,-4.977,TcS6_pocket11,-5.366,Human_pocket5,-0.38899999999999935,False
fda_1036,-4.119,-4.983,-4.162,-4.482,-4.54,-4.54,TcS6_pocket2,-4.983,Human_pocket5,-0.4429999999999996,False
fda_1,-5.162,-6.379,-6.152,-5.914,-5.622,-5.914,TcS6_pocket11,-6.379,Human_pocket5,-0.46499999999999986,False
fda_1007,-4.338,-4.934,-4.384,-4.263,-4.348,-4.348,TcS6_pocket2,-4.934,Human_pocket5,-0.5860000000000003,False
fda_1019,-4.139,-6.059,-4.692,-4.474,-5.44,-5.44,TcS6_pocket2,-6.059,Human_pocket5,-0.6189999999999998,False
fda_1013,-4.547,-5.883,-5.149,-4.605,-5.248,-5.248,TcS6_pocket2,-5.883,Human_pocket5,-0.6349999999999998,False
fda_1005,-4.265,-4.722,-3.836,-4.019,-4.073,-4.073,TcS6_pocket2,-4.722,Human_pocket5,-0.649,False
fda_1024,-4.916,-5.967,-5.201,-5.197,-5.238,-5.238,TcS6_pocket2,-5.967,Human_pocket5,-0.7289999999999992,False
fda_1033,-3.12,-4.199,-3.436,-3.352,-3.333,-3.352,TcS6_pocket11,-4.199,Human_pocket5,-0.847,False
fda_102,-2.933,-3.777,-2.918,-2.845,-2.873,-2.873,TcS6_pocket2,-3.777,Human_pocket5,-0.9039999999999999,False
fda_1008,-3.504,-5.143,-3.576,-4.206,-3.88,-4.206,TcS6_pocket11,-5.143,Human_pocket5,-0.9369999999999994,False
fda_1002,-4.362,-5.928,-5.401,-4.79,-4.957,-4.957,TcS6_pocket2,-5.928,Human_pocket5,-0.9710000000000001,False
fda_1004,-4.409,-4.954,-4.406,-3.788,-3.872,-3.872,TcS6_pocket2,-4.954,Human_pocket5,-1.0819999999999999,False
fda_1026,-4.546,-5.933,-5.103,-4.841,-4.659,-4.841,TcS6_pocket11,-5.933,Human_pocket5,-1.0919999999999996,False
fda_1025,-3.842,-5.05,-3.75,-3.863,-3.889,-3.889,TcS6_pocket2,-5.05,Human_pocket5,-1.161,False
fda_1023,-4.157,-5.571,-4.309,-4.25,-4.141,-4.25,TcS6_pocket11,-5.571,Human_pocket5,-1.3209999999999997,False
fda_1014,-4.417,-6.228,-4.391,-4.635,-4.879,-4.879,TcS6_pocket2,-6.228,Human_pocket5,-1.3490000000000002,False
fda_1010,-5.607,-7.787,-3.916,-6.435,-5.637,-6.435,TcS6_pocket11,-7.787,Human_pocket5,-1.3520000000000003,False
fda_103,-4.098,-5.845,-4.874,-4.39,-4.277,-4.39,TcS6_pocket11,-5.845,Human_pocket5,-1.455,False
fda_1027,-5.579,-7.066,-5.621,-5.552,-5.381,-5.552,TcS6_pocket11,-7.066,Human_pocket5,-1.5140000000000002,False
fda_1011,-2.554,-5.562,-3.625,-3.929,-3.933,-3.933,TcS6_pocket2,-5.562,Human_pocket5,-1.6290000000000004,False
fda_1012,-2.783,-6.104,-4.135,-4.227,-4.337,-4.337,TcS6_pocket2,-6.104,Human_pocket5,-1.7670000000000003,False
fda_1020,-5.052,-6.061,-5.422,-4.117,-3.662,-4.117,TcS6_pocket11,-6.061,Human_pocket5,-1.944,False
