ligand,pocket,best_score_kcal_mol,out_pdbqt,log_file
Apigenin_fda449,TcS6_pocket2,-4.888,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__TcS6_pocket2_log.txt
Apigenin_fda449,TcS6_pocket11,-4.789,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__TcS6_pocket11_log.txt
Apigenin_fda449,Human_pocket9,-4.621,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket9_log.txt
Apigenin_fda449,Human_pocket12,-4.56,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket12_log.txt
Apigenin_fda449,Human_pocket5,-6.386,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Apigenin_fda449__Human_pocket5_log.txt
Baicalin_fda456,TcS6_pocket2,-5.053,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__TcS6_pocket2_log.txt
Baicalin_fda456,TcS6_pocket11,-5.461,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__TcS6_pocket11_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__TcS6_pocket11_log.txt
Baicalin_fda456,Human_pocket9,-5.427,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket9_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket9_log.txt
Baicalin_fda456,Human_pocket12,-4.94,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket12_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket12_log.txt
Baicalin_fda456,Human_pocket5,-6.314,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket5_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Baicalin_fda456__Human_pocket5_log.txt
Bictegravir_fda2257,TcS6_pocket2,-5.489,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Bictegravir_fda2257__TcS6_pocket2_out.pdbqt,09_TC_POCKET2_COUNTERDOCKING/04_DOCKING/leader_test/Bictegravir_fda2257__TcS6_pocket2_log.txt
